sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
MBL260,Merton,BL,CLDP0260,Cambridge Rd,Roadside,523089,169854,51.414349,-0.23141,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL261,Merton,BL,CLDP0261,Deburgh Road,Roadside,526391,170455,51.419025,-0.183736,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL262,Merton,BL,CLDP0262,Garfield Rd,Roadside,526237,170944,51.423454,-0.185766,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL263,Merton,BL,CLDP0263,The Broadway,Roadside,524923,170582,51.420494,-0.204791,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL264,Merton,BL,CLDP0264,Haydons Rd,Roadside,526158,170319,51.417854,-0.187127,"NO2, PM25, PM10",N/A,N/A,N/A,,03-Dec-21
MBL279,Merton,BL,CLDP0279,Havana Rd,Roadside,525448,172613,51.438629,-0.19652,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Dec-21
MBL280,Merton,BL,CLDP0280,Eastfields Rd,Roadside,528389,169305,51.408241,-0.15543,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Dec-21
MBL281,Merton,BL,CLDP0281,Plough Ln,Roadside,526067,171505,51.428532,-0.18801,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Dec-21
MBL282,Merton,BL,CLDP0282,Waterfall Rd,Roadside,527010,170810,51.422081,-0.17471,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Dec-21
MBL283,Merton,BL,CLDP0283,London Rd/Merton Civic,Roadside,525615,168459,51.40126,-0.1956,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Dec-21
MBL286,Merton,BL,CLDP0286,"Colliers Wood, 80-82 High Street, London SW19 2BY",Roadside,526925,170607,51.420277,-0.176,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Dec-21
MBL288,Merton,BL,CLDP0288,Botsford Rd/Whatley Avenue,Roadside,524190,169010,51.406525,-0.215876,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL289,Merton,BL,CLDP0289,Seely Rd,Roadside,528518,170625,51.420082,-0.153099,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL290,Merton,BL,CLDP0290,St Mary's Road,Roadside,524430,171380,51.427773,-0.211594,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL291,Merton,BL,CLDP0291,Woodside,Roadside,524615,170880,51.423241,-0.209116,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL292,Merton,BL,CLDP0292,Belvedere Avenue,Roadside,524284,171261,51.426735,-0.213739,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL293,Merton,BL,CLDP0293,Woodside/Worcester Rd,Roadside,524827,171051,51.424728,-0.205998,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL294,Merton,BL,CLDP0294,Spencer Rd,Roadside,528357,168781,51.403538,-0.156079,"NO2, PM25, PM10",N/A,N/A,N/A,,23-Dec-21
MBL295,Merton,BL,CLDP0295,Burlington Road/Belmont Avenue,Roadside,522476,168222,51.399815,-0.240776,"NO2, PM25, PM10",N/A,N/A,N/A,,26-Nov-21
WBL319,Wandsworth,BL,CLDP0319,Putney High School junction on Carlton Road,Roadside,523886,174704,51.457767,-0.218255,"NO2, PM25, PM10",N/A,N/A,N/A,,13-Apr-22
WBL344,Wandsworth,BL,CLDP0344,St Michael's CE Primary School,Roadside,524862,173896,51.450294,-0.204494,"NO2, PM25, PM10",N/A,N/A,N/A,,30-Sep-22
WBL393,Wandsworth,BL,CLDP0393,St. Mary's RC Primary School,Roadside,528861,176958,51.476917,-0.14587,"NO2, PM25, PM10",N/A,N/A,N/A,,24-Jan-23
