siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-05-01,PM10,24.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-06-01,PM10,24.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-07-01,PM10,23.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-08-01,PM10,23.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-09-01,PM10,23.3
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-10-01,PM10,25.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-11-01,PM10,30.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2019-12-01,PM10,27.5
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2020-01-01,PM10,26.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-01-01,PM10,27.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-02-01,PM10,24.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-03-01,PM10,25.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-04-01,PM10,30.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-05-01,PM10,25.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-06-01,PM10,23.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-07-01,PM10,20.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-08-01,PM10,29.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-09-01,PM10,25.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-10-01,PM10,23.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-11-01,PM10,33.5
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2020-12-01,PM10,21.5
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2021-01-01,PM10,23.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-01-01,PM10,16.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-02-01,PM10,27.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-03-01,PM10,28.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-04-01,PM10,25.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-10-01,PM10,17.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-11-01,PM10,19.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2021-12-01,PM10,19.1
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2022-01-01,PM10,26.0
